	(1)	(2)	(3)	(4)
VARIABLES	prop_registered_candvotes_R2	prop_registered_candvotes_R2	prop_registered_candvotes_R2	prop_registered_candvotes_R2
				
RD_Estimate	0.078	0.075	0.080	0.080
	(0.019)	(0.016)	(0.026)	(0.024)
				
Observations	2374	3454	3039	3454
Robust p-value	0.001	0.000	0.005	0.007
Polyn. order	1.000	1.000	2.000	2.000
Bandwidth	0.026	0.037	0.033	0.037
Outcome mean	0.548	0.541	0.544	0.541
