	(1)	(2)	(3)
VARIABLES	prop_registered_turnout_R2	prop_registered_blanknull_R2	prop_registered_candvotes_R2
			
RD_Estimate	0.040	-0.037	0.078
	(0.017)	(0.004)	(0.019)
			
Observations	2298	2630	2374
Robust p-value	0.041	0.000	0.001
Polyn. order	1.000	1.000	1.000
Bandwidth	0.025	0.028	0.026
Outcome mean	0.598	0.047	0.548
