	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	prop_registered_votes_top2_R2	prop_reg_votes_closest_R2	prop_reg_votes_furthest_R2	prop_registered_votes_top2_R2	prop_reg_votes_closest_R2	prop_reg_votes_furthest_R2	prop_registered_votes_top2_R2	prop_reg_votes_closest_R2	prop_reg_votes_furthest_R2
									
RD_Estimate	-0.082	-0.061	-0.027	-0.094	-0.059	-0.034	-0.104	-0.064	-0.036
	(0.017)	(0.008)	(0.013)	(0.020)	(0.010)	(0.013)	(0.034)	(0.012)	(0.024)
									
Observations	546	832	614	423	361	451	189	250	184
Robust p-value	0.000	0.000	0.041	0.000	0.000	0.012	0.006	0.000	0.158
Polyn. order	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
Bandwidth	0.014	0.020	0.015	0.019	0.016	0.020	0.015	0.021	0.015
