	(1)	(2)	(3)
VARIABLES	prop_registered_votes_top2_R2	prop_registered_votes_candB_R2	prop_registered_votes_candC_R2
			
RD_Estimate	-0.062	-0.086	0.005
	(0.020)	(0.019)	(0.014)
			
Observations	136	160	187
Robust p-value	0.021	0.000	0.639
Polyn. order	1.000	1.000	1.000
Bandwidth	0.012	0.013	0.015
Outcome mean	0.478	0.300	0.169
