	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	prop_registered_votes_top2_R2	prop_reg_votes_closest_R2	prop_reg_votes_furthest_R2	prop_registered_votes_top2_R2	prop_reg_votes_closest_R2	prop_reg_votes_furthest_R2	prop_registered_votes_top2_R2	prop_reg_votes_closest_R2	prop_reg_votes_furthest_R2
									
RD_Estimate	-0.082	-0.061	-0.027	-0.080	-0.056	-0.031	-0.077	-0.057	-0.024
	(0.017)	(0.008)	(0.013)	(0.021)	(0.009)	(0.015)	(0.025)	(0.010)	(0.017)
									
Observations	546	832	614	345	471	387	228	294	243
Robust p-value	0.000	0.000	0.041	0.002	0.000	0.074	0.012	0.000	0.234
Polyn. order	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
Bandwidth	0.014	0.020	0.015	0.012	0.017	0.014	0.014	0.018	0.015
