	(1)	(2)	(3)
VARIABLES	distance_voteshare_winner2nd_R2	distance_voteshare_winner2nd_R2	distance_voteshare_winner2nd_R2
			
RD_Estimate	-0.058	0.056	-0.080
	(0.014)	(0.045)	(0.016)
			
Observations	2677	164	2303
Robust p-value	0.000	0.407	0.000
Polyn. order	1.000	1.000	1.000
Bandwidth	0.030	0.024	0.028
Outcome mean	0.155	0.136	0.156
