	(1)	(2)	(3)
VARIABLES	prop_registered_votes_top2_R2	prop_registered_votes_cand1_R2	prop_registered_votes_cand2_R2
			
RD_Estimate	-0.069	-0.032	-0.035
	(0.020)	(0.011)	(0.012)
			
Observations	2250	2923	2126
Robust p-value	0.003	0.012	0.016
Polyn. order	1.000	1.000	1.000
Bandwidth	0.024	0.031	0.024
Outcome mean	0.551	0.308	0.249
