	(1)	(2)	(3)
VARIABLES	prop_registered_blanknull_R2	prop_registered_blank_R2	prop_registered_null_R2
			
RD_Estimate	-0.027	-0.015	-0.011
	(0.003)	(0.002)	(0.001)
			
Observations	474	386	601
Robust p-value	0.000	0.000	0.000
Polyn. order	1.000	1.000	1.000
Bandwidth	0.014	0.011	0.017
Outcome mean	0.053	0.036	0.017
