	(1)	(2)	(3)	(4)
VARIABLES	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2
				
RD_Estimate	-0.096	-0.100	-0.132	-0.148
	(0.028)	(0.030)	(0.037)	(0.086)
				
Observations	239	160	94	23
Robust p-value	0.001	0.001	0.001	0.165
Polyn. order	1.000	1.000	1.000	1.000
Bandwidth	0.017	0.014	0.011	0.005
Outcome mean	0.512	0.528	0.545	0.623
