	(1)	(2)	(3)	(4)
VARIABLES	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2
				
RD_Estimate	-0.112	-0.105	-0.129	-0.143
	(0.024)	(0.023)	(0.033)	(0.052)
				
Observations	295	314	179	47
Robust p-value	0.000	0.000	0.000	0.072
Polyn. order	1.000	1.000	1.000	1.000
Bandwidth	0.015	0.020	0.016	0.007
Outcome mean	0.528	0.540	0.558	0.614
