	(1)	(2)	(3)
VARIABLES	prop_registered_votes_top2_R2	prop_registered_votes_candA_R2	prop_registered_votes_candC_R2
			
RD_Estimate	-0.125	-0.071	-0.056
	(0.039)	(0.022)	(0.036)
			
Observations	145	152	133
Robust p-value	0.004	0.004	0.202
Polyn. order	1.000	1.000	1.000
Bandwidth	0.015	0.016	0.013
Outcome mean	0.508	0.289	0.217
