	(1)	(2)	(3)	(4)	(5)
VARIABLES	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2	prop_registered_votes_top2_R2
					
RD_Estimate	-0.096	-0.101	-0.077	-0.158	-0.222
	(0.028)	(0.035)	(0.041)	(0.039)	(0.076)
					
Observations	239	127	120	113	48
Robust p-value	0.001	0.005	0.091	0.000	0.006
Polyn. order	1.000	1.000	1.000	1.000	1.000
Bandwidth	0.017	0.014	0.022	0.016	0.012
Outcome mean	0.512	0.520	0.528	0.526	0.518
